agent,env,seed,nsteps,reward
random_agent,backward_consciousness,0,500,-7.0
random_agent,minus_rewards(backward_consciousness),0,500,25.0
random_agent,deja_vu,0,500,7.0
random_agent,minus_rewards(deja_vu),0,500,-29.0
random_agent,false_memories,0,500,11.0
random_agent,minus_rewards(false_memories),0,500,-35.0
random_agent,ignore_rewards,0,500,-7.0
random_agent,minus_rewards(ignore_rewards),0,500,21.0
random_agent,ignore_rewards2,0,500,39.0
random_agent,minus_rewards(ignore_rewards2),0,500,-499.0
random_agent,ignore_rewards3,0,500,5.0
random_agent,minus_rewards(ignore_rewards3),0,500,-19.0
random_agent,ignore_observations,0,500,-13.0
random_agent,minus_rewards(ignore_observations),0,500,-33.0
random_agent,ignore_actions,0,500,-33.0
random_agent,minus_rewards(ignore_actions),0,500,-13.0
random_agent,incentivize_zero,0,500,-401.0
random_agent,minus_rewards(incentivize_zero),0,500,423.0
random_agent,crying_baby,0,500,-22.0
random_agent,minus_rewards(crying_baby),0,500,6.0
random_agent,crying_baby_2,0,500,-476.0
random_agent,minus_rewards(crying_baby_2),0,500,486.0
random_agent,tempting_button,0,500,-1.0
random_agent,minus_rewards(tempting_button),0,500,49.0
random_agent,tempting_button_variation,0,500,63.0
random_agent,minus_rewards(tempting_button_variation),0,500,-70.0
random_agent,third_action_forbidden,0,500,-129.0
random_agent,minus_rewards(third_action_forbidden),0,500,175.0
random_agent,delay_reactions,0,500,5.0
random_agent,minus_rewards(delay_reactions),0,500,-3.0
random_agent,delayed_rewards,0,500,-13.0
random_agent,minus_rewards(delayed_rewards),0,500,-31.0
random_agent,repeater,0,500,-1.0
random_agent,minus_rewards(repeater),0,500,11.0
random_agent,after_images,0,500,43.0
random_agent,minus_rewards(after_images),0,500,-11.0
random_agent,self_recognition,0,500,17.0
random_agent,minus_rewards(self_recognition),0,500,-28.0
random_agent,limited_memory,0,500,9.0
random_agent,minus_rewards(limited_memory),0,500,-5.0
random_agent,censored_observation,0,500,31.0
random_agent,minus_rewards(censored_observation),0,500,-29.0
random_agent,nth_reward_multiplied_by_n,0,500,-5.0
random_agent,minus_rewards(nth_reward_multiplied_by_n),0,500,-21.0
random_agent,adversarial_sequence_predictor,0,500,-21.0
random_agent,minus_rewards(adversarial_sequence_predictor),0,500,-29.0
random_agent,adversarial_sequence_evader,0,500,-29.0
random_agent,minus_rewards(adversarial_sequence_evader),0,500,-21.0
random_agent,incentivize_learning_rate,0,500,-499.0
random_agent,minus_rewards(incentivize_learning_rate),0,500,499.0
reality_check(random_agent),backward_consciousness,0,500,1.0
reality_check(random_agent),minus_rewards(backward_consciousness),0,500,-15.0
reality_check(random_agent),deja_vu,0,500,-23.0
reality_check(random_agent),minus_rewards(deja_vu),0,500,-5.0
reality_check(random_agent),false_memories,0,500,-23.0
reality_check(random_agent),minus_rewards(false_memories),0,500,-5.0
reality_check(random_agent),ignore_rewards,0,500,7.0
reality_check(random_agent),minus_rewards(ignore_rewards),0,500,3.0
reality_check(random_agent),ignore_rewards2,0,500,-23.0
reality_check(random_agent),minus_rewards(ignore_rewards2),0,500,-499.0
reality_check(random_agent),ignore_rewards3,0,500,5.0
reality_check(random_agent),minus_rewards(ignore_rewards3),0,500,-19.0
reality_check(random_agent),ignore_observations,0,500,5.0
reality_check(random_agent),minus_rewards(ignore_observations),0,500,-15.0
reality_check(random_agent),ignore_actions,0,500,-23.0
reality_check(random_agent),minus_rewards(ignore_actions),0,500,-5.0
reality_check(random_agent),incentivize_zero,0,500,-401.0
reality_check(random_agent),minus_rewards(incentivize_zero),0,500,423.0
reality_check(random_agent),crying_baby,0,500,-22.0
reality_check(random_agent),minus_rewards(crying_baby),0,500,6.0
