BackwardConsciousness, RandomAgent, 0: Done
BackwardConsciousness, RandomAgent, 1: Done
BackwardConsciousness, RandomAgent, 2: Done
BackwardConsciousness, RandomAgent, 3: Done
BackwardConsciousness, RandomAgent, 4: Done
BackwardConsciousness, ConstantAgent, 0: Done
BackwardConsciousness, ConstantAgent, 1: Done
BackwardConsciousness, ConstantAgent, 2: Done
BackwardConsciousness, ConstantAgent, 3: Done
BackwardConsciousness, ConstantAgent, 4: Done
BackwardConsciousness, NaiveLearner, 0
BackwardConsciousness, NaiveLearner, 1
BackwardConsciousness, NaiveLearner, 2
BackwardConsciousness, NaiveLearner, 3
BackwardConsciousness, NaiveLearner, 4
BackwardConsciousness, Q_learner, 0
BackwardConsciousness, Q_learner, 1
BackwardConsciousness, Q_learner, 2
BackwardConsciousness, Q_learner, 3
BackwardConsciousness, Q_learner, 4
BackwardConsciousness, DQN_learner, 0
BackwardConsciousness, DQN_learner, 1
BackwardConsciousness, DQN_learner, 2
BackwardConsciousness, DQN_learner, 3
BackwardConsciousness, DQN_learner, 4
BackwardConsciousness, PPO_learner, 0
BackwardConsciousness, PPO_learner, 1
BackwardConsciousness, PPO_learner, 2
BackwardConsciousness, PPO_learner, 3
BackwardConsciousness, PPO_learner, 4
BackwardConsciousness, A2C_learner, 0
BackwardConsciousness, A2C_learner, 1
BackwardConsciousness, A2C_learner, 2
BackwardConsciousness, A2C_learner, 3
BackwardConsciousness, A2C_learner, 4
FalseMemories, RandomAgent, 0: Done
FalseMemories, RandomAgent, 1: Done
FalseMemories, RandomAgent, 2: Done
FalseMemories, RandomAgent, 3: Done
FalseMemories, RandomAgent, 4: Done
FalseMemories, ConstantAgent, 0: Done
FalseMemories, ConstantAgent, 1: Done
FalseMemories, ConstantAgent, 2: Done
FalseMemories, ConstantAgent, 3: Done
FalseMemories, ConstantAgent, 4: Done
FalseMemories, NaiveLearner, 0
FalseMemories, NaiveLearner, 1
FalseMemories, NaiveLearner, 2
FalseMemories, NaiveLearner, 3
FalseMemories, NaiveLearner, 4
FalseMemories, Q_learner, 0
FalseMemories, Q_learner, 1
FalseMemories, Q_learner, 2
FalseMemories, Q_learner, 3
FalseMemories, Q_learner, 4
FalseMemories, DQN_learner, 0
FalseMemories, DQN_learner, 1
FalseMemories, DQN_learner, 2
FalseMemories, DQN_learner, 3
FalseMemories, DQN_learner, 4
FalseMemories, PPO_learner, 0
FalseMemories, PPO_learner, 1
FalseMemories, PPO_learner, 2
FalseMemories, PPO_learner, 3
FalseMemories, PPO_learner, 4
FalseMemories, A2C_learner, 0
FalseMemories, A2C_learner, 1
FalseMemories, A2C_learner, 2
FalseMemories, A2C_learner, 3
FalseMemories, A2C_learner, 4
IgnoreRewards, RandomAgent, 0: Done
IgnoreRewards, RandomAgent, 1: Done
IgnoreRewards, RandomAgent, 2: Done
IgnoreRewards, RandomAgent, 3: Done
IgnoreRewards, RandomAgent, 4: Done
IgnoreRewards, ConstantAgent, 0: Done
IgnoreRewards, ConstantAgent, 1: Done
IgnoreRewards, ConstantAgent, 2: Done
IgnoreRewards, ConstantAgent, 3: Done
IgnoreRewards, ConstantAgent, 4: Done
IgnoreRewards, NaiveLearner, 0
IgnoreRewards, NaiveLearner, 1
IgnoreRewards, NaiveLearner, 2
IgnoreRewards, NaiveLearner, 3
IgnoreRewards, NaiveLearner, 4
IgnoreRewards, Q_learner, 0
IgnoreRewards, Q_learner, 1
IgnoreRewards, Q_learner, 2
IgnoreRewards, Q_learner, 3
IgnoreRewards, Q_learner, 4
IgnoreRewards, DQN_learner, 0
IgnoreRewards, DQN_learner, 1
IgnoreRewards, DQN_learner, 2
IgnoreRewards, DQN_learner, 3
IgnoreRewards, DQN_learner, 4
IgnoreRewards, PPO_learner, 0
IgnoreRewards, PPO_learner, 1
IgnoreRewards, PPO_learner, 2
IgnoreRewards, PPO_learner, 3
IgnoreRewards, PPO_learner, 4
IgnoreRewards, A2C_learner, 0
IgnoreRewards, A2C_learner, 1
IgnoreRewards, A2C_learner, 2
IgnoreRewards, A2C_learner, 3
IgnoreRewards, A2C_learner, 4
IgnoreRewards2, RandomAgent, 0: Done
IgnoreRewards2, RandomAgent, 1: Done
IgnoreRewards2, RandomAgent, 2: Done
IgnoreRewards2, RandomAgent, 3: Done
IgnoreRewards2, RandomAgent, 4: Done
IgnoreRewards2, ConstantAgent, 0: Done
IgnoreRewards2, ConstantAgent, 1: Done
IgnoreRewards2, ConstantAgent, 2: Done
IgnoreRewards2, ConstantAgent, 3: Done
IgnoreRewards2, ConstantAgent, 4: Done
IgnoreRewards2, NaiveLearner, 0
IgnoreRewards2, NaiveLearner, 1
IgnoreRewards2, NaiveLearner, 2
IgnoreRewards2, NaiveLearner, 3
IgnoreRewards2, NaiveLearner, 4
IgnoreRewards2, Q_learner, 0
IgnoreRewards2, Q_learner, 1
IgnoreRewards2, Q_learner, 2
IgnoreRewards2, Q_learner, 3
IgnoreRewards2, Q_learner, 4
IgnoreRewards2, DQN_learner, 0
IgnoreRewards2, DQN_learner, 1
IgnoreRewards2, DQN_learner, 2
IgnoreRewards2, DQN_learner, 3
IgnoreRewards2, DQN_learner, 4
IgnoreRewards2, PPO_learner, 0
IgnoreRewards2, PPO_learner, 1
IgnoreRewards2, PPO_learner, 2
IgnoreRewards2, PPO_learner, 3
IgnoreRewards2, PPO_learner, 4
IgnoreRewards2, A2C_learner, 0
IgnoreRewards2, A2C_learner, 1
IgnoreRewards2, A2C_learner, 2
IgnoreRewards2, A2C_learner, 3
IgnoreRewards2, A2C_learner, 4
IgnoreRewards3, RandomAgent, 0: Done
IgnoreRewards3, RandomAgent, 1: Done
IgnoreRewards3, RandomAgent, 2: Done
IgnoreRewards3, RandomAgent, 3: Done
IgnoreRewards3, RandomAgent, 4: Done
IgnoreRewards3, ConstantAgent, 0: Done
IgnoreRewards3, ConstantAgent, 1: Done
IgnoreRewards3, ConstantAgent, 2: Done
IgnoreRewards3, ConstantAgent, 3: Done
IgnoreRewards3, ConstantAgent, 4: Done
IgnoreRewards3, NaiveLearner, 0
IgnoreRewards3, NaiveLearner, 1
IgnoreRewards3, NaiveLearner, 2
IgnoreRewards3, NaiveLearner, 3
IgnoreRewards3, NaiveLearner, 4
IgnoreRewards3, Q_learner, 0
IgnoreRewards3, Q_learner, 1
IgnoreRewards3, Q_learner, 2
IgnoreRewards3, Q_learner, 3
IgnoreRewards3, Q_learner, 4
IgnoreRewards3, DQN_learner, 0
IgnoreRewards3, DQN_learner, 1
IgnoreRewards3, DQN_learner, 2
IgnoreRewards3, DQN_learner, 3
IgnoreRewards3, DQN_learner, 4
IgnoreRewards3, PPO_learner, 0
IgnoreRewards3, PPO_learner, 1
IgnoreRewards3, PPO_learner, 2
IgnoreRewards3, PPO_learner, 3
IgnoreRewards3, PPO_learner, 4
IgnoreRewards3, A2C_learner, 0
IgnoreRewards3, A2C_learner, 1
IgnoreRewards3, A2C_learner, 2
IgnoreRewards3, A2C_learner, 3
IgnoreRewards3, A2C_learner, 4
IgnoreObservations, RandomAgent, 0: Done
IgnoreObservations, RandomAgent, 1: Done
IgnoreObservations, RandomAgent, 2: Done
IgnoreObservations, RandomAgent, 3: Done
IgnoreObservations, RandomAgent, 4: Done
IgnoreObservations, ConstantAgent, 0: Done
IgnoreObservations, ConstantAgent, 1: Done
IgnoreObservations, ConstantAgent, 2: Done
IgnoreObservations, ConstantAgent, 3: Done
IgnoreObservations, ConstantAgent, 4: Done
IgnoreObservations, NaiveLearner, 0
IgnoreObservations, NaiveLearner, 1
IgnoreObservations, NaiveLearner, 2
IgnoreObservations, NaiveLearner, 3
IgnoreObservations, NaiveLearner, 4
IgnoreObservations, Q_learner, 0
IgnoreObservations, Q_learner, 1
IgnoreObservations, Q_learner, 2
IgnoreObservations, Q_learner, 3
IgnoreObservations, Q_learner, 4
IgnoreObservations, DQN_learner, 0
IgnoreObservations, DQN_learner, 1
IgnoreObservations, DQN_learner, 2
IgnoreObservations, DQN_learner, 3
IgnoreObservations, DQN_learner, 4
IgnoreObservations, PPO_learner, 0
IgnoreObservations, PPO_learner, 1
IgnoreObservations, PPO_learner, 2
IgnoreObservations, PPO_learner, 3
IgnoreObservations, PPO_learner, 4
IgnoreObservations, A2C_learner, 0
IgnoreObservations, A2C_learner, 1
IgnoreObservations, A2C_learner, 2
IgnoreObservations, A2C_learner, 3
IgnoreObservations, A2C_learner, 4
IgnoreActions, RandomAgent, 0: Done
IgnoreActions, RandomAgent, 1: Done
IgnoreActions, RandomAgent, 2: Done
IgnoreActions, RandomAgent, 3: Done
IgnoreActions, RandomAgent, 4: Done
IgnoreActions, ConstantAgent, 0: Done
IgnoreActions, ConstantAgent, 1: Done
IgnoreActions, ConstantAgent, 2: Done
IgnoreActions, ConstantAgent, 3: Done
IgnoreActions, ConstantAgent, 4: Done
IgnoreActions, NaiveLearner, 0
IgnoreActions, NaiveLearner, 1
IgnoreActions, NaiveLearner, 2
IgnoreActions, NaiveLearner, 3
IgnoreActions, NaiveLearner, 4
IgnoreActions, Q_learner, 0
IgnoreActions, Q_learner, 1
IgnoreActions, Q_learner, 2
IgnoreActions, Q_learner, 3
IgnoreActions, Q_learner, 4
IgnoreActions, DQN_learner, 0
IgnoreActions, DQN_learner, 1
IgnoreActions, DQN_learner, 2
IgnoreActions, DQN_learner, 3
IgnoreActions, DQN_learner, 4
IgnoreActions, PPO_learner, 0
IgnoreActions, PPO_learner, 1
IgnoreActions, PPO_learner, 2
IgnoreActions, PPO_learner, 3
IgnoreActions, PPO_learner, 4
IgnoreActions, A2C_learner, 0
IgnoreActions, A2C_learner, 1
IgnoreActions, A2C_learner, 2
IgnoreActions, A2C_learner, 3
IgnoreActions, A2C_learner, 4
IncentivizeZero, RandomAgent, 0: Done
IncentivizeZero, RandomAgent, 1: Done
IncentivizeZero, RandomAgent, 2: Done
IncentivizeZero, RandomAgent, 3: Done
IncentivizeZero, RandomAgent, 4: Done
IncentivizeZero, ConstantAgent, 0: Done
IncentivizeZero, ConstantAgent, 1: Done
IncentivizeZero, ConstantAgent, 2: Done
IncentivizeZero, ConstantAgent, 3: Done
IncentivizeZero, ConstantAgent, 4: Done
IncentivizeZero, NaiveLearner, 0
IncentivizeZero, NaiveLearner, 1
IncentivizeZero, NaiveLearner, 2
IncentivizeZero, NaiveLearner, 3
IncentivizeZero, NaiveLearner, 4
IncentivizeZero, Q_learner, 0
IncentivizeZero, Q_learner, 1
IncentivizeZero, Q_learner, 2
IncentivizeZero, Q_learner, 3
IncentivizeZero, Q_learner, 4
IncentivizeZero, DQN_learner, 0
IncentivizeZero, DQN_learner, 1
IncentivizeZero, DQN_learner, 2
IncentivizeZero, DQN_learner, 3
IncentivizeZero, DQN_learner, 4
IncentivizeZero, PPO_learner, 0
IncentivizeZero, PPO_learner, 1
IncentivizeZero, PPO_learner, 2
IncentivizeZero, PPO_learner, 3
IncentivizeZero, PPO_learner, 4
IncentivizeZero, A2C_learner, 0
IncentivizeZero, A2C_learner, 1
IncentivizeZero, A2C_learner, 2
IncentivizeZero, A2C_learner, 3
IncentivizeZero, A2C_learner, 4
PunishSlowAgent, RandomAgent, 0: Done
PunishSlowAgent, RandomAgent, 1: Done
PunishSlowAgent, RandomAgent, 2: Done
PunishSlowAgent, RandomAgent, 3: Done
PunishSlowAgent, RandomAgent, 4: Done
PunishSlowAgent, ConstantAgent, 0: Done
PunishSlowAgent, ConstantAgent, 1: Done
PunishSlowAgent, ConstantAgent, 2: Done
PunishSlowAgent, ConstantAgent, 3: Done
PunishSlowAgent, ConstantAgent, 4: Done
PunishSlowAgent, NaiveLearner, 0
PunishSlowAgent, NaiveLearner, 1
PunishSlowAgent, NaiveLearner, 2
PunishSlowAgent, NaiveLearner, 3
PunishSlowAgent, NaiveLearner, 4
PunishSlowAgent, Q_learner, 0
PunishSlowAgent, Q_learner, 1
PunishSlowAgent, Q_learner, 2
PunishSlowAgent, Q_learner, 3
PunishSlowAgent, Q_learner, 4
PunishSlowAgent, DQN_learner, 0
PunishSlowAgent, DQN_learner, 1
PunishSlowAgent, DQN_learner, 2
PunishSlowAgent, DQN_learner, 3
PunishSlowAgent, DQN_learner, 4
PunishSlowAgent, PPO_learner, 0
PunishSlowAgent, PPO_learner, 1
PunishSlowAgent, PPO_learner, 2
PunishSlowAgent, PPO_learner, 3
PunishSlowAgent, PPO_learner, 4
PunishSlowAgent, A2C_learner, 0
PunishSlowAgent, A2C_learner, 1
PunishSlowAgent, A2C_learner, 2
PunishSlowAgent, A2C_learner, 3
PunishSlowAgent, A2C_learner, 4
PunishDeterministicAgent, RandomAgent, 0: Done
PunishDeterministicAgent, RandomAgent, 1: Done
PunishDeterministicAgent, RandomAgent, 2: Done
PunishDeterministicAgent, RandomAgent, 3: Done
PunishDeterministicAgent, RandomAgent, 4: Done
PunishDeterministicAgent, ConstantAgent, 0: Done
PunishDeterministicAgent, ConstantAgent, 1: Done
PunishDeterministicAgent, ConstantAgent, 2: Done
PunishDeterministicAgent, ConstantAgent, 3: Done
PunishDeterministicAgent, ConstantAgent, 4: Done
PunishDeterministicAgent, NaiveLearner, 0
PunishDeterministicAgent, NaiveLearner, 1
PunishDeterministicAgent, NaiveLearner, 2
PunishDeterministicAgent, NaiveLearner, 3
PunishDeterministicAgent, NaiveLearner, 4
PunishDeterministicAgent, Q_learner, 0
PunishDeterministicAgent, Q_learner, 1
PunishDeterministicAgent, Q_learner, 2
PunishDeterministicAgent, Q_learner, 3
PunishDeterministicAgent, Q_learner, 4
PunishDeterministicAgent, DQN_learner, 0
PunishDeterministicAgent, DQN_learner, 1
PunishDeterministicAgent, DQN_learner, 2
PunishDeterministicAgent, DQN_learner, 3
PunishDeterministicAgent, DQN_learner, 4
PunishDeterministicAgent, PPO_learner, 0
PunishDeterministicAgent, PPO_learner, 1
PunishDeterministicAgent, PPO_learner, 2
PunishDeterministicAgent, PPO_learner, 3
PunishDeterministicAgent, PPO_learner, 4
PunishDeterministicAgent, A2C_learner, 0
PunishDeterministicAgent, A2C_learner, 1
PunishDeterministicAgent, A2C_learner, 2
PunishDeterministicAgent, A2C_learner, 3
PunishDeterministicAgent, A2C_learner, 4
CryingBaby, RandomAgent, 0: Done
CryingBaby, RandomAgent, 1: Done
CryingBaby, RandomAgent, 2: Done
CryingBaby, RandomAgent, 3: Done
CryingBaby, RandomAgent, 4: Done
CryingBaby, ConstantAgent, 0: Done
CryingBaby, ConstantAgent, 1: Done
CryingBaby, ConstantAgent, 2: Done
CryingBaby, ConstantAgent, 3: Done
CryingBaby, ConstantAgent, 4: Done
CryingBaby, NaiveLearner, 0
CryingBaby, NaiveLearner, 1
CryingBaby, NaiveLearner, 2
CryingBaby, NaiveLearner, 3
CryingBaby, NaiveLearner, 4
CryingBaby, Q_learner, 0
CryingBaby, Q_learner, 1
CryingBaby, Q_learner, 2
CryingBaby, Q_learner, 3
CryingBaby, Q_learner, 4
CryingBaby, DQN_learner, 0
CryingBaby, DQN_learner, 1
CryingBaby, DQN_learner, 2
CryingBaby, DQN_learner, 3
CryingBaby, DQN_learner, 4
CryingBaby, PPO_learner, 0
CryingBaby, PPO_learner, 1
CryingBaby, PPO_learner, 2
CryingBaby, PPO_learner, 3
CryingBaby, PPO_learner, 4
CryingBaby, A2C_learner, 0
CryingBaby, A2C_learner, 1
CryingBaby, A2C_learner, 2
CryingBaby, A2C_learner, 3
CryingBaby, A2C_learner, 4
CryingBaby2, RandomAgent, 0: Done
CryingBaby2, RandomAgent, 1: Done
CryingBaby2, RandomAgent, 2: Done
CryingBaby2, RandomAgent, 3: Done
CryingBaby2, RandomAgent, 4: Done
CryingBaby2, ConstantAgent, 0: Done
CryingBaby2, ConstantAgent, 1: Done
CryingBaby2, ConstantAgent, 2: Done
CryingBaby2, ConstantAgent, 3: Done
CryingBaby2, ConstantAgent, 4: Done
CryingBaby2, NaiveLearner, 0
CryingBaby2, NaiveLearner, 1
CryingBaby2, NaiveLearner, 2
CryingBaby2, NaiveLearner, 3
CryingBaby2, NaiveLearner, 4
CryingBaby2, Q_learner, 0
CryingBaby2, Q_learner, 1
CryingBaby2, Q_learner, 2
CryingBaby2, Q_learner, 3
CryingBaby2, Q_learner, 4
CryingBaby2, DQN_learner, 0
CryingBaby2, DQN_learner, 1
CryingBaby2, DQN_learner, 2
CryingBaby2, DQN_learner, 3
CryingBaby2, DQN_learner, 4
CryingBaby2, PPO_learner, 0
